name,date,actors,location,location_details,price,lowPrice,highPrice,categoryName
深圳•陈楚生 2024夏浪音乐节（深圳欢乐谷）,2024.07.19 周五 20:00,艺人：陈楚生,深圳,深圳欢乐谷,260,260.0,260.0,演唱会
超梦音乐节,2024.07.27 周六 14:00,艺人：蒲熠星、队长YoungCaptain、郑润泽、h3R3刘清云、姚琛、颜人中、张星特、徐子未、赫兹乐队,枣庄,枣庄文体中心体育场,199-369,199.0,369.0,演唱会
夏日时光音乐盛典-大同站,2024.07.19 周五 17:30,艺人：张远、王栎鑫、姚政、苏醒、陆虎、王铮亮、孙亦航、金玟岐、陈雪凝,大同,大同市体育中心体育场,280-1080,280.0,1080.0,演唱会
“不如见一面”海来阿木2024巡回演唱会-无锡站,2024.07.13 周六 19:30,艺人：海来阿木,无锡,无锡体育中心体育馆,480-1280,480.0,1280.0,演唱会
2024周兴哲Odyssey（旅程）巡回演唱会-成都站,2024.07.13 周六 19:00,艺人：周兴哲（Eric）,成都,成都东安湖体育公园多功能体育馆,380-1280,380.0,1280.0,演唱会
2024《寻宝游戏》巡回签唱会上海站,2024.08.10 周六 19:30,艺人：唐九洲,上海,蜚声上海PHASE LIVE HOUSE SHANGHAI,480-780,480.0,780.0,演唱会
丁当《夜游 A Night Tour》巡回演唱会-上海站,2024.08.24 周六 19:30,艺人：丁当,上海,国家会展中心(上海)虹馆EH,280-680,280.0,680.0,演唱会
2024“沂河之夏”迷笛厂牌大学生音乐节,2024.07.12-07.14,艺人：野外合作社、虎啸春、海底时光机、Mojohand乐队,临沂,临沂大剧院,69.9,69.9,69.9,演唱会
A-Lin黄丽玲「A-LINK with PASSENGERS」2024巡回演唱会-青岛站,2024.07.13 周六 19:00,艺人：A-LIN,青岛,青岛市体育中心国信体育馆,380-1380,380.0,1380.0,演唱会
Twins Spirit 22 演唱会-重庆站,2024.07.06 周六 19:30,艺人：Twins,重庆,华熙LIVE·鱼洞·场馆,580-1580,580.0,1580.0,演唱会
永庆升平2024德云社郭德纲 于谦相声专场演出---长沙站,2024.07.27 周六 19:30,艺人：郭德纲、于谦,长沙,湖南国际会展中心·芒果馆,380-1800,380.0,1800.0,曲苑杂坛
永庆升平2024德云社岳云鹏 孙越相声专场演出,2024.07.26 周五 19:30,艺人：岳云鹏、孙越,成都,四川省体育馆,380-1680,380.0,1680.0,曲苑杂坛
舞台剧《魔幻时刻》（072524）,2024.07.25-07.28,艺人：郑云龙、闫楠、宗俊涛、黄宏,上海,上海大剧院-大剧场,180-1080,180.0,1080.0,话剧歌剧
